mutation_operator,safety_category
append_state_variable,safe
add_function,safe
add_event,safe
rename_internal_state_variable,safe
rename_local_variable,safe
equivalent_expression_refactor,safe
extract_internal_function,safe
commute_independent_writes,safe
valid_domain_guard,safe
consume_storage_gap,safe
reorder_state_variables,storage
insert_state_variable,storage
change_storage_type,storage
change_packed_width,storage
change_inheritance_order,storage
move_mapping_root,storage
move_dynamic_array_root,storage
expand_storage_gap,storage
inline_assembly_legacy_slot_write,storage
namespace_collision,storage
computed_assembly_slot_write,storage
arithmetic_operator_change,behavior
comparison_operator_change,behavior
omit_state_update,behavior
wrong_state_variable,behavior
return_value_change,behavior
omit_event,behavior
remove_require,behavior
change_revert_condition,behavior
remove_access_modifier,behavior
change_call_recipient,behavior
external_call_order_change,behavior
success_to_revert,behavior
conditional_state_update,behavior
conditional_event,behavior
revert_data_change,behavior
unsupported_hash_return,behavior
reorder_state_variables+remove_require,mixed
change_packed_width+omit_event,mixed
rename_local_variable+comparison_operator_change,mixed
equivalent_expression_refactor+remove_require,mixed
omit_state_update+omit_event,mixed
change_inheritance_order+arithmetic_operator_change,mixed
inline_assembly_legacy_slot_write+remove_access_modifier,mixed
move_mapping_root+return_value_change,mixed
commute_independent_writes+conditional_event,mixed
namespace_collision+change_call_recipient,mixed
